Task Name,Parent Name,Status,Task Content
AWS Parameters Store,Maj 2023,not recorded,"
"
Infisical,Maj 2023,not recorded,"
"
4Developers 2023 - Warszawa,Kwiecień 2023,not recorded,"
"
Upstash.com,Marzec 2023,not recorded,"
"
TypeScript Advanced,Styczeń 2023,not recorded,"
"
Podsumowanie roku,Grudzień 2022,not recorded,"
"
Puppeteer Workshops,Listopad 2022,done,"
"
Next 13 app dir workshops,Październik 2022,done,"
"
Cypress vs Playwright,Lipiec 2022,not recorded,"Repozytorium: https://git.gorrion.pl/knowledge/testing-libraries
"
Monitoring i Logi,Lipiec 2022,not recorded,"https://zajac.notion.site/zajac/Logtail-BetterUptime-z-Next-js-i-Vercelem-b672aecfbd654739bd4d5d76da7e0ccc + https://zajac.notion.site/zajac/Logtail-BetterUptime-z-Nest-JS-e658b222d620437385948741fc152efb + https://git.gorrion.pl/knowledge/logging-and-monitoring-monorepo
"
Warsztaty: Supabase + Next + Fly.io,Kwiecień 2022,not recorded,
Newsy,Maj 2024,recorded,"
"
Idempotentność API,Maj 2024,recorded,"
"
TanStack Form - warsztaty,Kwiecień 2024,recorded,"
"
Grafana,Luty 2024,recorded,"
"
LocalStack,Styczeń 2024,recorded,"https://docs.localstack.cloud/getting-started/
"
LangChain,Styczeń 2024,recorded,"
"
"CINO, Tech Radar, unjs, hono, tauri",Listopad 2023,recorded,"
"
Październik 2023,,recorded,"Link do nagrania: 
https://drive.google.com/file/d/1x2HYlyUWqFkfnicGR8MiPShVBqxA8tKm/view?usp=sharing

"
JS Runtimes,Październik 2023,recorded,"
"
Własny framework do obsługi RSC,Październik 2023,recorded,"
"
Moduły w JS w 2023,Wrzesień 2023,recorded,"Repozytoria:
https://git.gorrion.pl/knowledge/developerskie-09-2023
https://git.gorrion.pl/knowledge/historical-modules

"
Effect,Sierpień 2023,recorded,"
"
DirzzleORM,Lipiec 2023,recorded,"Link do nagrania: 
https://drive.google.com/file/d/1Hd4geCvNgg4GURpvQUAfeAOMvKeaDKZT/view?usp=sharing

"
https://m3o.com/,Czerwiec 2023,recorded,
Pattern Matching,Czerwiec 2023,recorded,"
"
Starter Kit Research - Iron Session/Next Auth,Wrzesień 2022,recorded,
IaaC z Pulumi,Wrzesień 2022,recorded,
vanilla-extract,Wrzesień 2022,recorded,
tRPC.io,Sierpień 2022,recorded,
Events,Czerwiec 2022,recorded,"https://github.com/mateusz-chwedczuk/workshops-event-notification
https://github.com/mateusz-chwedczuk/workshops-event-carried-state-transfer
https://martinfowler.com/articles/201701-event-driven.html
"
Git Flows,Maj 2022,recorded,
React native nie tylko na mobilki - microsoft.github.io/react-native-windows,Marzec 2022,recorded,"
https://microsoft.github.io/react-native-windows/

 
"
React Native for Windows and MacOS,Marzec 2022,recorded,
IaaC - Pulumi,Marzec 2022,recorded,
Mikroserwisy część 2,Luty 2022,recorded,
Styczeń 2022,,recorded,"Link do nagrania: https://files.gorrion.io/d/f/668128815899259505
"
React Native <-> Apple Watch connector,Styczeń 2022,recorded,
AWS Certificates,Styczeń 2022,recorded,
Turborepo,Styczeń 2022,recorded,
Mikroserwisy,Grudzień 2021,recorded,"
"
Mailhog,Listopad 2021,recorded,
https://planetscale.com/,Listopad 2021,recorded,
https://supabase.io/,Listopad 2021,recorded,"https://supabase.io/
"
Astro,Październik 2021,recorded,
https://wit.ai/,Wrzesień 2021,recorded,
https://www.snaplet.dev/,Wrzesień 2021,recorded,
https://genql.vercel.app/,Wrzesień 2021,recorded,
nestjs v8,Lipiec 2021,recorded,
https://render.com/,Lipiec 2021,recorded,"https://render.com/render-vs-heroku-comparison
"
vite,Lipiec 2021,recorded,
biblioteki komponentów RN - przegląd,Czerwiec 2021,recorded,
[Luntek] Generowanie API z Prismą i TypeGraphQL,Czerwiec 2021,recorded,
tailwind css,Czerwiec 2021,recorded,
Prisma ORM,Maj 2021,recorded,"
"
Security Headers,Maj 2021,recorded,
Vercel,Maj 2021,recorded,
[Luntek] Mixin Classes,Kwiecień 2021,recorded,"Nagranie: https://files.gorrion.io/d/f/614315899863742029
"
rake.red,Kwiecień 2021,recorded,"Nagranie: https://files.gorrion.io/d/f/614315899863742029 

"
Next-auth,Kwiecień 2021,recorded,"Nagranie: https://files.gorrion.io/d/f/614315899863742029
"
"Headless ecommerce - porównanie Shopify, Vendure, Swell",Marzec 2021,recorded,
react-query,Marzec 2021,recorded,
Deno,Luty 2021,recorded,
Niebezpieczne callbacki,Luty 2021,recorded,
BLE,Luty 2021,recorded,
Unity - podstawy,Grudzień 2020,recorded,
Chakra-ui,Grudzień 2020,recorded,
React concurrent mode,Grudzień 2020,recorded,
Recoil,Listopad 2020,recorded,
sentry.io,Listopad 2020,recorded,
react-router-v6,Listopad 2020,done,
Październik 2020,,recorded,"Nagranie: https://files.gorrion.io/d/f/582981067309332169
"
xstate,Październik 2020,recorded,
Flow,Październik 2020,recorded,
Hasura,Październik 2020,recorded,
